GalaxyID,SDSS_petromag_abs_u_kcorr_dustcorr,MPAJHU_MEDIAN_MASS
452633,1.8419990539550781,9.801209
578384,1.4959983825683594,9.559114
619302,2.4508161544799805,10.727934
499579,1.8039989471435547,9.73163
662062,2.2649993896484375,9.89157
994768,2.536998748779297,10.437307
994243,2.5159997940063477,10.639937
157311,1.6879997253417969,9.133471
370971,3.095998764038086,9.4439535
264210,1.6889991760253906,10.247496
405685,1.5380001068115234,9.289379
360039,1.5599994659423828,9.472736
321939,1.6599998474121094,10.675914
983016,2.980001449584961,10.028081
135972,2.560000419616699,10.259949
764635,2.192999839782715,10.722943
838696,2.392000198364258,10.191996
344112,2.0229997634887695,10.110534
183528,1.8050003051757812,9.837172
192838,1.7349987030029297,9.251125
808076,1.3330001831054688,9.217055
911571,2.2370004653930664,10.625141
440461,2.392000198364258,9.462601
782714,1.3010005950927734,9.449902
539498,2.312999725341797,10.302005
797099,1.8410005569458008,9.957962
360299,2.0669994354248047,10.386459
574743,1.8709993362426758,10.73904
493699,1.6239986419677734,9.604996
762592,1.7229995727539062,9.453918
614495,2.2950000762939453,9.962029
991547,1.8189992904663086,10.171087
666877,2.7340002059936523,11.032651
959501,1.7560005187988281,10.239066
770025,2.50100040435791,10.231489
677433,2.0083179473876953,9.630254
184293,2.7229995727539062,11.173956
158193,1.696000099182129,10.105777
124342,2.1020002365112305,10.909371
310914,1.555999755859375,9.580609
927132,1.6129999160766602,10.110184
898239,2.6780004501342773,10.546761
776053,2.856999397277832,10.136212
672600,1.6609992980957031,9.791656
148814,2.105998992919922,9.373216
116832,2.147998809814453,10.123915
895996,1.8950004577636719,9.7398815
638232,2.662999153137207,10.732748
321791,1.4879999160766602,9.804325
880703,1.4629993438720703,9.578369
708101,1.415999412536621,9.574668
636605,1.9379997253417969,9.913612
255681,1.667999267578125,10.4494505
158360,1.832000732421875,10.068522
536591,2.2239990234375,9.5037
929743,1.596999168395996,9.772615
881863,1.7930011749267578,9.935103
567592,1.5639991760253906,8.91647
742478,1.2889995574951172,9.362174
140246,2.7019996643066406,11.177703
753979,1.6789989471435547,9.323777
124824,1.6979999542236328,9.551781
741898,1.9660005569458008,10.617397
271663,2.517001152038574,10.409092
383087,2.114999771118164,9.881072
833955,2.4070005416870117,10.453451
367337,2.434000015258789,10.178134
405663,1.5769996643066406,9.732527
962369,1.3180007934570312,9.109479
912006,2.219999313354492,9.619468
772252,2.4229984283447266,9.96499
944045,1.8550004959106445,10.874663
546682,2.3999996185302734,9.64774
477170,1.3759994506835938,9.199492
220401,2.6040000915527344,11.057692
453366,2.595001220703125,10.736565
859818,2.3889999389648438,10.936748
834649,2.1429996490478516,10.539987
136289,2.26300048828125,11.142476
886091,1.8740005493164062,9.4195385
112918,2.685000419616699,10.639029
266700,2.1519994735717773,9.91832
789422,1.5089998245239258,10.313777
809701,2.636000633239746,10.440118
931985,1.838998794555664,9.886722
269330,2.550999641418457,10.645428
438608,1.536001205444336,9.602835
340927,2.180999755859375,9.947231
177222,1.4200000762939453,9.026073
335462,1.5760002136230469,9.966478
139688,2.6819992065429688,10.135986
984453,2.364999771118164,11.038544
769910,1.9479999542236328,9.533638
837282,1.5919990539550781,9.433865
259255,2.8010005950927734,10.368156
815573,2.4539995193481445,10.426385
870539,1.8500003814697266,9.493529
103233,0.856999397277832,10.608592
609436,2.0380001068115234,9.747175
696049,1.2049989700317383,9.352547
464526,2.606999397277832,10.310286
483599,1.2579994201660156,9.155477
139432,1.5039997100830078,9.320824
959483,1.4489994049072266,9.285069
115736,2.4459991455078125,9.848246
172928,2.069000244140625,10.815124
613217,2.1030006408691406,9.934152
857867,2.0809993743896484,9.749799
929374,2.3809986114501953,9.509347
830812,2.1760005950927734,9.871264
456717,2.812000274658203,10.18396
462486,2.1620006561279297,9.9590435
948544,2.635000228881836,10.358261
473032,2.060999870300293,10.381926
560882,2.844000816345215,10.500027
339412,1.3999996185302734,8.980722
222563,2.480998992919922,10.475957
404206,2.7340011596679688,10.30796
111399,2.594000816345215,10.57783
788748,2.542999267578125,10.521846
184491,1.4489994049072266,10.223985
282376,2.4489994049072266,9.926203
833023,1.5010013580322266,9.806441
307424,1.6730003356933594,8.832785
703373,2.7619991302490234,10.492867
729107,2.4970006942749023,10.488197
998542,1.4930009841918945,9.199045
647558,2.3780012130737305,10.553699
877475,2.177000045776367,9.813789
366267,1.6220016479492188,9.18587
129248,1.7700004577636719,9.834006
534479,2.548999786376953,9.74705
108088,1.8239994049072266,10.058636
237308,1.9739999771118164,10.948363
611742,1.496999740600586,9.483533
510398,2.13800048828125,9.747141
935539,1.322000503540039,9.765041
485386,2.581000328063965,10.415843
392939,1.8659992218017578,9.529379
455412,2.625,11.006883
300525,1.9270000457763672,9.695063
611313,1.6110000610351562,10.2845
959466,2.572999954223633,9.964189
207682,2.583001136779785,9.987777
419598,2.5709991455078125,10.254611
251305,2.7629995346069336,11.2732
210452,2.0079994201660156,9.950405
813855,2.6909990310668945,10.471336
203706,2.927000045776367,10.174747
155702,2.454000473022461,10.38232
903953,2.3299999237060547,9.832115
800857,1.6990013122558594,9.151388
808847,1.7430000305175781,10.195799
986619,2.728999137878418,10.473982
620128,1.5229997634887695,10.255685
311787,2.754000663757324,10.709519
961426,1.9539995193481445,10.822481
594765,2.2420005798339844,9.913093
622691,2.0079994201660156,10.689661
690309,1.7220001220703125,9.768682
149141,2.1270008087158203,9.727257
179068,1.5120000839233398,10.266415
410557,2.7430009841918945,10.595512
655014,2.256000518798828,9.894726
274250,1.415999412536621,10.102299
194329,1.8439998626708984,9.967624
626808,2.440999984741211,9.634411
481025,1.4650001525878906,9.392659
968321,0.9920005798339844,8.872708
681116,2.3460006713867188,9.72512
807916,2.476999282836914,10.66629
234169,1.970001220703125,10.690246
366712,1.6229991912841797,9.078472
186159,2.0580005645751953,10.046767
304547,1.3660001754760742,9.733663
696397,2.349000930786133,10.274388
901133,2.690000534057617,10.826817
674368,1.7589988708496094,9.758492
984095,1.430999755859375,10.007378
499042,1.6620006561279297,9.452695
987942,2.4710006713867188,10.098131
961452,2.305999755859375,10.123255
984610,2.4230003356933594,10.051622
324971,1.574000358581543,10.44414
258342,1.9360008239746094,9.330072
596256,2.0970001220703125,10.591835
767369,1.661001205444336,9.644981
918608,1.3349990844726562,9.737613
642149,2.621000289916992,10.768007
375003,1.523000717163086,9.416702
105447,1.5009994506835938,9.445825
806411,1.7397871017456055,9.930843
109595,2.0810012817382812,9.489504
533032,1.6159992218017578,9.868916
